question,facts,results,precision,recall
['What are the video games composed by Hirokazu Tanaka?'],"['http://dbpedia.org/property/composer,http://dbpedia.org/ontology/VideoGame,']",[],,
['Brian Moriarty designed video games written by whom?'],"['http://dbpedia.org/ontology/designer,http://dbpedia.org/property/writer,http://dbpedia.org/ontology/VideoGame,']",[' [        "http://dbpedia.org/ontology/writer"    ]'],['0.0'],['0.0']
['Which workplace of the Michael M. Sears is also the  governing body of the Burro Flats Painted Cave?'],"['http://dbpedia.org/ontology/employer,http://dbpedia.org/ontology/governingBody,']","[' [        ""http://dbpedia.org/ontology/governingBody"",         ""http://dbpedia.org/ontology/occupation""    ]']",['0.5'],['0.5']
['Who is the executive producer of Into the Dalek ?'],"['http://dbpedia.org/property/executiveProducer,']",[],,
['Was Citizen Kane cinematographed by Gregg Toland?'],"['http://dbpedia.org/property/cinematography,']",[],,
['What is the prize awarded to Bruce Beutler ?'],"['http://dbpedia.org/ontology/award,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0']
['Which writer of Alan Freeman Days is also the writer of Come On over ?'],"['http://dbpedia.org/ontology/writer,http://dbpedia.org/property/writer,']","[' [        ""http://dbpedia.org/ontology/writer"",         ""http://dbpedia.org/property/writer""    ]']",['1.0'],['1.0']
['What is the religion of character of Janice Soprano from The Soprano television show?'],"['http://dbpedia.org/ontology/religion,']",[' [        "http://dbpedia.org/ontology/religion"    ]'],['1.0'],['1.0']
['Name some comic characters created by Bruce Timm?'],"['http://dbpedia.org/ontology/creator,']",[' [        "http://dbpedia.org/ontology/creator"    ]'],['1.0'],['1.0']
['Does AMC Gremlin have the Volkswagen engine?'],"['http://dbpedia.org/property/engine,']",[' [        "http://dbpedia.org/ontology/engine"    ]'],['0.5'],['1.0']
['Which appliance has cpu from Freescale Semiconductor and Marvell Technology Group?'],"['http://dbpedia.org/ontology/cpu,http://dbpedia.org/ontology/cpu,http://dbpedia.org/ontology/InformationAppliance,']","[' [        ""http://dbpedia.org/ontology/cpu"",         ""http://dbpedia.org/ontology/owningOrganisation""    ]']",['1.0'],['1.0']
,,[],,
,,[],,
['Who all have appointed governess born in Magnolia Plantation gardens?'],"['http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/property/appointer,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['1.0'],['1.0']
['Is Judy Garland a character of End of the Rainbow?'],"['http://dbpedia.org/property/characters,']",[],,
["Which constructor's team won the 1967 Mexican Grand Prix ?"],"['http://dbpedia.org/property/firstTeam,']",[],,
['What is the state of origin of the president whose alma mater is Hellenic Naval Academy ?'],"['http://dbpedia.org/property/almaMater,http://dbpedia.org/ontology/stateOfOrigin,http://dbpedia.org/ontology/President,']",[],,
['Among which basket ball team having arena as The Palace of Auburn hills has president as Stan Van Gundy ?'],"['http://dbpedia.org/property/arena,http://dbpedia.org/property/president,http://dbpedia.org/ontology/BasketballTeam,']",[' [        "http://dbpedia.org/ontology/president"    ]'],['0.5'],['1.0']
['What awards were given to the screenplayer of The Motorcycle Diaries?'],"['http://dbpedia.org/property/screenplay,http://dbpedia.org/property/awards,']",[],,
['Where was Juno I launched from ?'],"['http://dbpedia.org/ontology/launchSite,']",[' [        "http://dbpedia.org/ontology/launchSite"    ]'],['1.0'],['1.0']
['How many TV shows have executive producer as Steven Moffat ?'],"['http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/producer"    ]'],['0.5'],['1.0']
['BBC Two is the sister channel of networks having which shows?'],"['http://dbpedia.org/property/sisterNames,http://dbpedia.org/ontology/network,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/property/network"    ]'],['0.5'],['1.0']
['What were the awards won by the founder of Walt Disney Records ?'],"['http://dbpedia.org/ontology/foundedBy,http://dbpedia.org/ontology/award,']",[' [        "http://dbpedia.org/property/president"    ]'],['0.0'],['0.0']
"['Which river goes through cohoes, NY']","['http://dbpedia.org/ontology/river,']",[' [        "http://dbpedia.org/ontology/river"    ]'],['1.0'],['1.0']
['Is the Columbia University chaired by William Campbell?'],"['http://dbpedia.org/ontology/chairman,']",[],,
['In what wars was Steve Buyer involved?'],"['http://dbpedia.org/ontology/battle,']",[' [        "http://dbpedia.org/ontology/battle"    ]'],['1.0'],['1.0']
['Was Michael Schumacher the Pole driver of 1994 Spanish Grand Prix?'],"['http://dbpedia.org/property/poleDriver,']",[],,
"['What is the style of architecture of Shaheed Minar, Kolkata ?']","['http://dbpedia.org/ontology/architecturalStyle,']",[' [        "http://dbpedia.org/ontology/deathPlace"    ]'],['0.0'],['0.0']
['Count the number of characters in Batman Live?'],"['http://dbpedia.org/property/characters,http://dbpedia.org/ontology/ComicsCharacter,']",[],,
["Which company's division is Audi India? Correct Question"],"['http://dbpedia.org/property/divisions,']",[],,
['Is Michelle D. Johnson the superintendent of United States Air Force Academy?'],"['http://dbpedia.org/property/superintendent,']",[],,
"['Which famous political figure appointed william cushing, and also founded Pittsburgh>']","['http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/appointer,']","[' [        ""http://dbpedia.org/ontology/deathPlace"",         ""http://dbpedia.org/property/deathPlace""    ]']",['0.0'],['0.0']
['Which basketball players have played in the league of National Basketball Association?'],"['http://dbpedia.org/ontology/league,http://dbpedia.org/ontology/BasketballPlayer,']",[' [        "http://dbpedia.org/property/league"    ]'],['0.5'],['1.0']
['What is the award won of the scientists known for Cubic Hermite spline?'],"['http://dbpedia.org/property/knownFor,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Scientist,']",[],,
['How many companies were founded in places where Dallas is the governing body ?'],"['http://dbpedia.org/property/governingBody,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/ontology/Company,']",[' [        "http://dbpedia.org/property/founded"    ]'],['0.0'],['0.0']
['What is the bloomington viaduct built to cross?'],"['http://dbpedia.org/property/crosses,']",[],,
['What awards were presented to the person who produced Paradise place?'],"['http://dbpedia.org/property/producer,http://dbpedia.org/property/awards,http://dbpedia.org/ontology/Person,']",[],,
['Copley Medal has been awarded to which scientists?'],"['http://dbpedia.org/property/awards,http://dbpedia.org/ontology/Scientist,']",[],,
['To which city does Northeast Library belong?'],"['http://dbpedia.org/ontology/city,']",[' [        "http://dbpedia.org/ontology/city"    ]'],['1.0'],['1.0']
['What beverages originate in Leuven?'],"['http://dbpedia.org/ontology/origin,http://dbpedia.org/ontology/Beverage,']",[' [        "http://dbpedia.org/property/singleLine"    ]'],['0.0'],['0.0']
['Which comic characters were created by Paul Dini?'],"['http://dbpedia.org/property/creators,http://dbpedia.org/ontology/ComicsCharacter,']",[' [        "http://dbpedia.org/ontology/creator"    ]'],['0.0'],['0.0']
['What are the cities around the sea which flows into the Atlantic?'],"['http://dbpedia.org/ontology/inflow,http://dbpedia.org/property/cities,http://dbpedia.org/ontology/Sea,']",[' [        "http://dbpedia.org/ontology/sea"    ]'],['0.0'],['0.0']
['Which football managers managed Middlesbrough F.C.?'],"['http://dbpedia.org/ontology/managerClub,']",[' [        "http://dbpedia.org/ontology/managerTitle"    ]'],['0.0'],['0.0']
['What developed EMMS?'],"['http://dbpedia.org/ontology/developer,']",[' [        "http://dbpedia.org/ontology/developer"    ]'],['1.0'],['1.0']
['Which city is the route start of the Moscow-Kazan high-speed railway and birth place of the Ilya Savelev ?'],"['http://dbpedia.org/ontology/routeStart,http://dbpedia.org/ontology/birthPlace,']","[' [        ""http://dbpedia.org/ontology/birthPlace"",         ""http://dbpedia.org/ontology/routeStart""    ]']",['1.0'],['1.0']
['Which hockey team is head coached by Bill Peters?'],"['http://dbpedia.org/property/headCoach,http://dbpedia.org/ontology/HockeyTeam,']",[],,
['What is the genre of Battle Chess?'],"['http://dbpedia.org/property/genre,']",[],,
['How many bands are signed up with Kobalt Label Services?'],"['http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/ontology/Band,']",[' [        "http://dbpedia.org/ontology/recordLabel"    ]'],['1.0'],['1.0']
['where are the sister stations of CFRB broadcasted?'],"['http://dbpedia.org/property/sisterStations,http://dbpedia.org/ontology/broadcastArea,']",[],,
["List the television shows one of whose distributor's divisions is Warner Bros. Animation."],"['http://dbpedia.org/property/divisions,http://dbpedia.org/property/distributor,http://dbpedia.org/ontology/TelevisionShow,']",[],,
['Namt the fields of Paul Demiville ?'],"['http://dbpedia.org/property/fields,']",[],,
['Which district of Thorington railway station is the location of death of  David Lewis (poet) ?'],"['http://dbpedia.org/ontology/district,http://dbpedia.org/ontology/deathPlace,']","[' [        ""http://dbpedia.org/ontology/district"",         ""http://dbpedia.org/ontology/location""    ]']",['0.5'],['0.5']
['Count the number of movies whose editors were born in UK?'],"['http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/property/editing,http://dbpedia.org/ontology/Film,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['1.0'],['1.0']
['What subsequent work of Moondog Matinee has the composer of Motorpsycho Nitemare ?'],"['http://dbpedia.org/property/composer,http://dbpedia.org/ontology/subsequentWork,']",[' [        "http://dbpedia.org/ontology/composer"    ]'],['0.5'],['1.0']
['Name the stock holders of soccer club whose one of the stockholder is Carl Sanders ?'],"['http://dbpedia.org/property/owner,http://dbpedia.org/ontology/owner,http://dbpedia.org/ontology/SoccerClub,']",[' [        "http://dbpedia.org/ontology/keyPerson"    ]'],['0.0'],['0.0']
['Who was the parent of person whose child is William C P breckinridge?'],"['http://dbpedia.org/property/children,http://dbpedia.org/ontology/parent,http://dbpedia.org/ontology/Person,']",[],,
,,[],,
,,[],,
["Which TV show's producer is Stephen E. Ambrose and company is DreamWorks Television?"],"['http://dbpedia.org/ontology/producer,http://dbpedia.org/ontology/company,http://dbpedia.org/ontology/TelevisionShow,']","[' [        ""http://dbpedia.org/ontology/producer"",         ""http://dbpedia.org/ontology/company""    ]']",['1.0'],['1.0']
['How many other race are there of the adult (pornographic) actors whose ethnicity is Cherokee ?'],"['http://dbpedia.org/ontology/ethnicity,http://dbpedia.org/property/ethnicity,']","[' [        ""http://dbpedia.org/property/ethnicity"",         ""http://dbpedia.org/ontology/ethnicity""    ]']",['1.0'],['1.0']
["Who is the producer of the single which was the subsequent work of He's a Liar?"],"['http://dbpedia.org/ontology/subsequentWork,http://dbpedia.org/ontology/producer,']","[' [        ""http://dbpedia.org/ontology/producer"",         ""http://dbpedia.org/ontology/subsequentWork""    ]']",['1.0'],['1.0']
['Whose shrine is in aachen cathedral?'],"['http://dbpedia.org/property/majorShrine,']",[],,
['Giorgos Kaminis is the mayor of what?'],"['http://dbpedia.org/ontology/mayor,']",[' [        "http://dbpedia.org/ontology/mayor"    ]'],['1.0'],['1.0']
['Name the incumbent of Linda Jenness ?'],"['http://dbpedia.org/ontology/incumbent,']",[' [        "http://dbpedia.org/ontology/incumbent"    ]'],['1.0'],['1.0']
['Give me a count of mammals which have their order as Primate?'],"['http://dbpedia.org/ontology/order,http://dbpedia.org/ontology/Mammal,']",[' [        "http://dbpedia.org/ontology/order"    ]'],['1.0'],['1.0']
['What are the things whose leader was a monarch of Willem-Alexander of the Netherlands?'],"['http://dbpedia.org/ontology/monarch,http://dbpedia.org/ontology/leader,']","[' [        ""http://dbpedia.org/ontology/leader"",         ""http://dbpedia.org/ontology/monarch""    ]']",['1.0'],['1.0']
"['Which county seat of the King County, Washington and PLACE OF DEATH of the Phil Lumpkin ?']","['http://dbpedia.org/ontology/countySeat,http://dbpedia.org/property/placeOfDeath,']",[' [        "http://dbpedia.org/ontology/countySeat"    ]'],['1.0'],['1.0']
"['Name the river whose mouth place is Old Lyme, Connecticut?']","['http://dbpedia.org/ontology/mouthPlace,http://dbpedia.org/ontology/River,']",[' [        "http://dbpedia.org/ontology/place"    ]'],['0.5'],['1.0']
['Which  person has opponent Ike Clanton?'],"['http://dbpedia.org/ontology/opponent,http://dbpedia.org/ontology/Person,']",[' [        "http://dbpedia.org/ontology/opponent"    ]'],['1.0'],['1.0']
"['List the affiliation of Indian general election, 2004 (Andhra Pradesh) ?']","['http://dbpedia.org/ontology/affiliation,']",[' [        "http://dbpedia.org/ontology/affiliation"    ]'],['1.0'],['1.0']
"[""Which municipality of the Brown's Corners, toronto also place of birth of Krista Kelly ?""]","['http://dbpedia.org/ontology/municipality,http://dbpedia.org/property/placeOfBirth,']",[' [        "http://dbpedia.org/ontology/municipality"    ]'],['1.0'],['1.0']
['Where are the shrines of the saints who were beatified by Pope Pius XI?'],"['http://dbpedia.org/property/beatifiedBy,http://dbpedia.org/ontology/majorShrine,http://dbpedia.org/ontology/Saint,']",[' [        "http://dbpedia.org/property/successor"    ]'],['0.0'],['0.0']
['In which areas is the radio station broadcasted which is a sister station of WXME ?'],"['http://dbpedia.org/property/sisterStations,http://dbpedia.org/property/area,http://dbpedia.org/ontology/RadioStation,']",[],,
['What is the location town of Seattle Great Wheel ?'],"['http://dbpedia.org/property/locationTown,']",[],,
